"","date","value"
"319",1974-07-01,5.5
"320",1974-08-01,5.5
"321",1974-09-01,5.9
"322",1974-10-01,6
"323",1974-11-01,6.6
"324",1974-12-01,7.2
"325",1975-01-01,8.1
"326",1975-02-01,8.1
"327",1975-03-01,8.6
"328",1975-04-01,8.8
"329",1975-05-01,9
"330",1975-06-01,8.8
"331",1975-07-01,8.6
"332",1975-08-01,8.4
"333",1975-09-01,8.4
"334",1975-10-01,8.4
"335",1975-11-01,8.3
"336",1975-12-01,8.2
"337",1976-01-01,7.9
"338",1976-02-01,7.7
"339",1976-03-01,7.6
"340",1976-04-01,7.7
"341",1976-05-01,7.4
"342",1976-06-01,7.6
"343",1976-07-01,7.8
"344",1976-08-01,7.8
"345",1976-09-01,7.6
"346",1976-10-01,7.7
"347",1976-11-01,7.8
"348",1976-12-01,7.8
"349",1977-01-01,7.5
"350",1977-02-01,7.6
"351",1977-03-01,7.4
"352",1977-04-01,7.2
"353",1977-05-01,7
"354",1977-06-01,7.2
"355",1977-07-01,6.9
"356",1977-08-01,7
"357",1977-09-01,6.8
"358",1977-10-01,6.8
"359",1977-11-01,6.8
"360",1977-12-01,6.4
"361",1978-01-01,6.4
"362",1978-02-01,6.3
"363",1978-03-01,6.3
"364",1978-04-01,6.1
"365",1978-05-01,6
"366",1978-06-01,5.9
"367",1978-07-01,6.2
"368",1978-08-01,5.9
"369",1978-09-01,6
"370",1978-10-01,5.8
"371",1978-11-01,5.9
"372",1978-12-01,6
"373",1979-01-01,5.9
"374",1979-02-01,5.9
"375",1979-03-01,5.8
"376",1979-04-01,5.8
"377",1979-05-01,5.6
"378",1979-06-01,5.7
"379",1979-07-01,5.7
"380",1979-08-01,6
"381",1979-09-01,5.9
"382",1979-10-01,6
"383",1979-11-01,5.9
"384",1979-12-01,6
"385",1980-01-01,6.3
"386",1980-02-01,6.3
"387",1980-03-01,6.3
"388",1980-04-01,6.9
"389",1980-05-01,7.5
"390",1980-06-01,7.6
"391",1980-07-01,7.8
"392",1980-08-01,7.7
"393",1980-09-01,7.5
"394",1980-10-01,7.5
"395",1980-11-01,7.5
"396",1980-12-01,7.2
"397",1981-01-01,7.5
"398",1981-02-01,7.4
"399",1981-03-01,7.4
"400",1981-04-01,7.2
"401",1981-05-01,7.5
"402",1981-06-01,7.5
"403",1981-07-01,7.2
"404",1981-08-01,7.4
"405",1981-09-01,7.6
"406",1981-10-01,7.9
"407",1981-11-01,8.3
"408",1981-12-01,8.5
"409",1982-01-01,8.6
"410",1982-02-01,8.9
"411",1982-03-01,9
"412",1982-04-01,9.3
"413",1982-05-01,9.4
